plot_type,varname,casename,apply_log10,time_period,sel_dict,filepath,date
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0099-01-01_0099-12-31,{},histogram/NHx_SURFACE_EMIS.0099-01-01_0099-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0100-01-01_0100-12-31,{},histogram/NHx_SURFACE_EMIS.0100-01-01_0100-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0100-01-01_0100-12-31,{},histogram/NHx_SURFACE_EMIS.0100-01-01_0100-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0101-01-01_0101-12-31,{},histogram/NHx_SURFACE_EMIS.0101-01-01_0101-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0101-01-01_0101-12-31,{},histogram/NHx_SURFACE_EMIS.0101-01-01_0101-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0102-01-01_0102-12-31,{},histogram/NHx_SURFACE_EMIS.0102-01-01_0102-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0102-01-01_0102-12-31,{},histogram/NHx_SURFACE_EMIS.0102-01-01_0102-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0103-01-01_0103-12-31,{},histogram/NHx_SURFACE_EMIS.0103-01-01_0103-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0103-01-01_0103-12-31,{},histogram/NHx_SURFACE_EMIS.0103-01-01_0103-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0104-01-01_0104-12-31,{},histogram/NHx_SURFACE_EMIS.0104-01-01_0104-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0104-01-01_0104-12-31,{},histogram/NHx_SURFACE_EMIS.0104-01-01_0104-12-31.log10.png,
histogram,NO3,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0095-01-01_0095-12-31,{'z_t': '35109.35'},histogram/NO3.0095-01-01_0095-12-31.z_t--35109.35.png,
